,freq,amp,THD_out,coefA_in_0,coefB_in_0,coefA_out_0,coefB_out_0,coefA_in_1,coefB_in_1,coefA_out_1,coefB_out_1,coefA_in_2,coefB_in_2,coefA_out_2,coefB_out_2,coefA_in_3,coefB_in_3,coefA_out_3,coefB_out_3,coefA_in_4,coefB_in_4,coefA_out_4,coefB_out_4,coefA_in_5,coefB_in_5,coefA_out_5,coefB_out_5,coefA_in_6,coefB_in_6,coefA_out_6,coefB_out_6
0,50,5,33.61243993995989,-0.002506046576123154,-0.0,54.239665354330704,-0.0,-0.001981041295701604,0.12075494773002377,-1834.0818221358643,-207.46761614054458,-0.0019366541784426369,0.0013612329197686254,7.041773532840121,-61.63720442109117,-0.0013035116630395452,0.0019352652875368978,15.63773865596208,-143.61221565151843,-0.0005523786397879822,0.00220443364822911,3.596917112129673,-120.91448203299124,0.00021089296764138581,0.0021832586825476508,23.34321679718593,-121.78739976440114,0.0008850047087058081,0.0019031014511803903,21.93025658083384,-136.0864266902952
1,50,3,88.71273008739354,0.0015039769647786005,-0.0,1.863927165354332,-0.0,-0.0012727585273392347,0.06032576875536867,554.2423399020864,656.6156490346252,0.0014757884294271037,0.021479091132578797,267.53282127850514,-589.0419447144819,-0.0011427382757344306,0.0007872072698551488,-40.11447620789599,-69.89275658523509,0.0008921357368938996,-0.0011410258532479776,-6.140570982157293,-72.00583871851408,-0.0006117618455610927,0.0011530309272659838,104.63799308987677,-24.137418045443606,0.0003180555346208348,-0.0012787395471057063,101.60360358483891,43.209414759377815
2,50,7,576.7883953434582,-0.003509279584483399,-0.0,133.12967519685037,-0.0,0.0023472681672842706,0.0627911225527191,-652.2142042091644,-329.54185850880725,0.000816318644296105,-0.003191889036488139,-187.6566847602289,115.9451806333204,-0.0021327693497941195,0.10069651182917849,1937.819808807956,-3657.8919739269772,0.0028982271274200972,0.0011281361799337782,178.0971943350472,-207.01696809071362,-0.0005917953308053872,-0.0032966359043439053,-335.65669303811455,-279.74270326771256,-0.0019665723218118794,0.0021024493640961826,-129.02158083793225,65.31298912113985
3,50,0,26.222621988328026,-2.3288662664988637e-19,-0.0,-5.0329724409448815,-0.0,0.0001884006432323233,0.059969590011412124,825.2249718523371,32.55357508559131,-5.034924897548938e-07,-8.013226403907447e-05,10.940464156326914,-0.18564008005759933,-4.2464446890015984e-07,-4.5054843453655964e-05,-8.058904428624754,26.019200982123955,-4.0257881697660976e-07,-3.2034518016806024e-05,8.178181211876224,22.238984584633503,-3.931236876372607e-07,-2.5024972828921514e-05,12.638309655569145,-5.425679751115149,-3.881713787912685e-07,-2.059069222343534e-05,2.4075945929435645,-0.7469847320019181
4,50,20,2196.935403794674,-0.010026513098524011,-0.0,-20.346210629921313,-0.0,0.00999411072543856,0.06197988181314066,207.23887917700586,18.70987498230234,-0.009156758951570747,-0.003386617368234204,3.623046530824374,-36.16408845862611,0.008139449987647755,0.00574549954785677,223.7811196183867,43.94411671925813,-0.006789374714810762,-0.004938488179894815,128.76977676948084,-103.2344485697488,0.010548497958061986,0.3430107589389347,-4417.562946956677,672.1876624803514,-0.003673404484312152,-0.009594911358548494,-151.48000256523153,-70.09009856794849
5,50,4,56.185599269433816,-0.0020053026197048005,-0.0,-1.7290846456692888,-0.0,0.0017342017687306313,0.06364093717437606,817.8900758561645,-394.0293244178043,-0.00036966340118221364,-0.0020184359907509633,63.701003189267276,-25.71038835279222,-0.000928649790180434,0.001641547337797105,96.67517364466505,12.472594978004869,0.0017361701900774425,-0.0007208800729473664,98.59496112073414,51.18926738684061,-0.0017071403563385932,-0.0005805766547762139,50.733205870476525,113.40246412075575,0.0009153233662580985,0.0014215406422763358,-0.46541232764418417,131.34172847010433
6,50,2,51.29231861913097,0.0010026513098524003,-0.0,14.544291338582672,-0.0,-0.00014380463336650183,0.06091658347993265,-526.3556569245172,700.6100360179984,-0.0007671716038474719,-0.0006802139881583553,-34.34035176100048,-22.410233174714204,0.000890983042407494,0.007044758724586941,154.60716941163017,289.5418066374749,0.00019725682074765225,0.0008544627224251443,36.61248267893061,23.961638262079877,-0.0008908239505184403,-0.0001517629646066031,13.714694949506285,74.90451925709884,0.00038256357633803187,-0.0007945261655812148,-62.37478856193233,45.31488452911439
7,50,9,207.9087046393639,0.004511930893669352,-0.0,-19.294783464566933,-0.0,0.003919415182676771,0.06248077846212657,-23.076643020349547,-931.0499173900117,0.001683000689311677,0.004042509501560808,95.96319419656507,10.116896587920643,-0.000865782245896671,0.004246528410366778,-264.75241304972735,68.75483091651401,-0.0029892839304522614,0.003024320196276225,11.516077857574437,-218.25333216735646,-0.0035992892976177498,0.024116020631147102,1636.9523862873875,94.5728879978019,-0.003541325207775405,-0.0016538413882492276,-187.35848632522044,-183.2936180855691
8,50,12,3771.7947233820814,-0.0060159078591143994,-0.0,135.30044291338584,-0.0,-0.0004495722343665008,0.06609908062827506,25.8120324959211,-116.46668756474514,0.00577863021599302,0.0017300711605931361,142.16272630252826,116.2970898571198,0.004013180790831981,0.22713874484069196,-2471.83373053068,-3584.9022720213748,-0.005110016236831871,-0.0031548503062385825,-75.09610941506456,-185.19401522957995,-0.0027477858014365373,0.004171563405359466,121.12050434012227,-208.61618174071484,0.004103381096739038,0.0027339927952635882,15.83438041057924,-246.1882283679245
9,50,8,2066.232877135199,-0.0040106052394096045,-0.0,-33.1336122047244,-0.0,0.0015173754279212321,0.06376093952577984,-232.53174948755196,-104.76868380532288,0.003066964983703503,-0.0024993036942159044,-87.98431938977144,22.562997241952637,-0.0032788898433162112,-0.00198347431921922,-62.54572089436716,69.61543017966623,-0.0007908062114172485,0.0037417592120825792,-18.419064306777877,81.44612618369993,0.003563141871944782,-0.0003024207210266956,-1.601748149887561,54.04766344307253,-0.0015283912352055322,-0.002833361885379227,-67.32943528160921,40.06850453785101
