,freq,amp,coefA_in,coefB_in,coefA_out,coefB_out,THD_out
10,50,3,"[np.float64(-2.3288662664988637e-19), np.float64(0.0001884006432323233), np.float64(-5.034924897548938e-07), np.float64(-4.2464446890015984e-07), np.float64(-4.0257881697660976e-07), np.float64(-3.931236876372607e-07), np.float64(-3.881713787912685e-07)]","[np.float64(-0.0), np.float64(0.059969590011412124), np.float64(-8.013226403907447e-05), np.float64(-4.5054843453655964e-05), np.float64(-3.2034518016806024e-05), np.float64(-2.5024972828921514e-05), np.float64(-2.059069222343534e-05)]","[np.float64(-1.7482775590551163), np.float64(750.9910633899767), np.float64(6.406735617182207), np.float64(27.418887327511868), np.float64(0.20567077931837593), np.float64(8.828284020359469), np.float64(-6.937560861133743)]","[np.float64(-0.0), np.float64(-394.340949335658), np.float64(-9.687166011165413), np.float64(-4.42974266581139), np.float64(0.2508700981802449), np.float64(9.047095811064604), np.float64(1.3857663265736697)]",26.835627512597895
11,50,7,"[np.float64(8.777700788442644e-19), np.float64(0.0004396015008754209), np.float64(-1.1748158094283721e-06), np.float64(-9.908370941004668e-07), np.float64(-9.393505729448183e-07), np.float64(-9.172886044867604e-07), np.float64(-9.057332171812613e-07)]","[np.float64(-0.0), np.float64(0.13992904335996167), np.float64(-0.00018697528275784), np.float64(-0.00010512796805853105), np.float64(-7.474720870588189e-05), np.float64(-5.839160326748366e-05), np.float64(-4.8044948521348924e-05)]","[np.float64(-10.137795275590571), np.float64(1114.2565394988253), np.float64(25.468171667954252), np.float64(-19.319442953634635), np.float64(6.3848048922398695), np.float64(-28.36814656962063), np.float64(-0.7321501346916867)]","[np.float64(-0.0), np.float64(1839.8367722180133), np.float64(30.634415307739705), np.float64(-89.97974159005813), np.float64(5.91006638200198), np.float64(34.381717888549204), np.float64(11.689971625060982)]",11.555570133204936
12,50,6,"[np.float64(-4.657732532997727e-19), np.float64(0.0003768012864646466), np.float64(-1.0069849795097875e-06), np.float64(-8.492889378003197e-07), np.float64(-8.051576339532195e-07), np.float64(-7.862473752745214e-07), np.float64(-7.76342757582537e-07)]","[np.float64(-0.0), np.float64(0.11993918002282425), np.float64(-0.00016026452807814894), np.float64(-9.010968690731193e-05), np.float64(-6.406903603361205e-05), np.float64(-5.004994565784303e-05), np.float64(-4.118138444687068e-05)]","[np.float64(47.81545275590551), np.float64(-1690.6620975990836), np.float64(-5.49669540054585), np.float64(-58.02739970409003), np.float64(7.111262512034486), np.float64(17.15727058236243), np.float64(-8.129736077723859)]","[np.float64(-0.0), np.float64(694.6551321403341), np.float64(-4.162450959212615), np.float64(-24.34497714276291), np.float64(5.069919421596304), np.float64(-15.114317596119038), np.float64(-4.84778065424244)]",11.383279536499433
13,50,3,"[np.float64(-2.3288662664988637e-19), np.float64(0.0001884006432323233), np.float64(-5.034924897548938e-07), np.float64(-4.2464446890015984e-07), np.float64(-4.0257881697660976e-07), np.float64(-3.931236876372607e-07), np.float64(-3.881713787912685e-07)]","[np.float64(-0.0), np.float64(0.059969590011412124), np.float64(-8.013226403907447e-05), np.float64(-4.5054843453655964e-05), np.float64(-3.2034518016806024e-05), np.float64(-2.5024972828921514e-05), np.float64(-2.059069222343534e-05)]","[np.float64(36.13287401574804), np.float64(-279.3300060733581), np.float64(-19.08946675235584), np.float64(-19.231719761155723), np.float64(7.22798767697691), np.float64(-4.739265775795652), np.float64(-17.118147248129294)]","[np.float64(-0.0), np.float64(-797.7662509970784), np.float64(-13.983219689889562), np.float64(15.152837028182722), np.float64(9.490100497640295), np.float64(4.420110495312905), np.float64(6.140628416753679)]",26.986725320715543
14,50,4,"[np.float64(1.8041124150158793e-19), np.float64(0.0002512008576430971), np.float64(-6.713233196734247e-07), np.float64(-5.661926252002517e-07), np.float64(-5.367717559682812e-07), np.float64(-5.241649168497756e-07), np.float64(-5.175618383889952e-07)]","[np.float64(-0.0), np.float64(0.07995945334854952), np.float64(-0.00010684301871876576), np.float64(-6.007312460487477e-05), np.float64(-4.271269068907457e-05), np.float64(-3.336663043856241e-05), np.float64(-2.745425629791398e-05)]","[np.float64(2.7234251968503878), np.float64(924.1821471933173), np.float64(-2.1862637077661655), np.float64(38.94756205446115), np.float64(-6.576012888605575), np.float64(6.447917365488918), np.float64(-15.10212362395032)]","[np.float64(-0.0), np.float64(-705.6658300202031), np.float64(-15.225289400401897), np.float64(-2.0729220897664926), np.float64(-13.493093627199853), np.float64(2.3853757897458086), np.float64(-14.195961084614552)]",19.926948777696722
15,50,5,"[np.float64(2.3418766925686896e-20), np.float64(0.0003140010720538715), np.float64(-8.391541495915947e-07), np.float64(-7.07740781500304e-07), np.float64(-6.709646949594546e-07), np.float64(-6.552061460623796e-07), np.float64(-6.469522979858352e-07)]","[np.float64(-0.0), np.float64(0.09994931668568688), np.float64(-0.00013355377339845738), np.float64(-7.509140575609356e-05), np.float64(-5.339086336134307e-05), np.float64(-4.17082880482027e-05), np.float64(-3.4317820372392655e-05)]","[np.float64(4.194881889763789), np.float64(857.1338171088619), np.float64(9.604157287183469), np.float64(5.657616530224728), np.float64(14.47108830686545), np.float64(-13.655869862970391), np.float64(8.134590609863414)]","[np.float64(-0.0), np.float64(1243.9064494258043), np.float64(25.34640995299772), np.float64(-35.33683467960752), np.float64(-3.4667272249629497), np.float64(8.850305843849371), np.float64(-0.37594062641065146)]",14.657788996883882
16,50,1,"[np.float64(4.510281037539698e-20), np.float64(6.280021441077427e-05), np.float64(-1.6783082991835617e-07), np.float64(-1.4154815630006293e-07), np.float64(-1.341929389920703e-07), np.float64(-1.310412292124439e-07), np.float64(-1.293904595972488e-07)]","[np.float64(-0.0), np.float64(0.01998986333713738), np.float64(-2.671075467969144e-05), np.float64(-1.5018281151218693e-05), np.float64(-1.0678172672268643e-05), np.float64(-8.341657609640603e-06), np.float64(-6.863564074478495e-06)]","[np.float64(4.0538877952755925), np.float64(-105.57691905245254), np.float64(2.529230110782247), np.float64(-11.649635265891794), np.float64(0.5533531719392577), np.float64(0.6875737745236304), np.float64(3.0726137986153246)]","[np.float64(-0.0), np.float64(219.31693053938372), np.float64(3.257612206007745), np.float64(13.466612152457566), np.float64(-9.46575333795416), np.float64(0.5027753372479942), np.float64(2.003570406860426)]",89.9434497946887
17,50,4,"[np.float64(1.8041124150158793e-19), np.float64(0.0002512008576430971), np.float64(-6.713233196734247e-07), np.float64(-5.661926252002517e-07), np.float64(-5.367717559682812e-07), np.float64(-5.241649168497756e-07), np.float64(-5.175618383889952e-07)]","[np.float64(-0.0), np.float64(0.07995945334854952), np.float64(-0.00010684301871876576), np.float64(-6.007312460487477e-05), np.float64(-4.271269068907457e-05), np.float64(-3.336663043856241e-05), np.float64(-2.745425629791398e-05)]","[np.float64(54.44906496062991), np.float64(-897.5218975708826), np.float64(5.610375366334623), np.float64(32.10358190858976), np.float64(-14.041009626317688), np.float64(1.86730881526867), np.float64(10.983173107747154)]","[np.float64(-0.0), np.float64(-736.8323643043187), np.float64(9.154659015427274), np.float64(18.88158471663858), np.float64(-8.248488055083193), np.float64(-2.898521024743776), np.float64(-7.985609675831283)]",18.674028215999755
18,50,6,"[np.float64(-4.657732532997727e-19), np.float64(0.0003768012864646466), np.float64(-1.0069849795097875e-06), np.float64(-8.492889378003197e-07), np.float64(-8.051576339532195e-07), np.float64(-7.862473752745214e-07), np.float64(-7.76342757582537e-07)]","[np.float64(-0.0), np.float64(0.11993918002282425), np.float64(-0.00016026452807814894), np.float64(-9.010968690731193e-05), np.float64(-6.406903603361205e-05), np.float64(-5.004994565784303e-05), np.float64(-4.118138444687068e-05)]","[np.float64(3.7795275590551136), np.float64(874.7786333229379), np.float64(7.542130659308287), np.float64(-16.937404523627386), np.float64(-15.190289970987543), np.float64(3.8349812382443744), np.float64(7.835545158259879)]","[np.float64(-0.0), np.float64(-1594.8157126174826), np.float64(-40.81825106318374), np.float64(-77.64144499366442), np.float64(-15.494145210185346), np.float64(-18.932619368933715), np.float64(-8.974187289115028)]",13.143895729749964
19,50,0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.0), np.float64(-0.0), np.float64(-0.0), np.float64(-0.0), np.float64(-0.0), np.float64(-0.0), np.float64(-0.0)]","[np.float64(5.730561023622047), np.float64(5.125043997364606), np.float64(-10.641452415426167), np.float64(-8.159483238755561), np.float64(3.816853533678232), np.float64(7.360926880062909), np.float64(1.4912180577387797)]","[np.float64(-0.0), np.float64(-8.705872270717993), np.float64(6.233461050765687), np.float64(13.013065033276076), np.float64(-6.220087946613885), np.float64(4.128903378618217), np.float64(-1.3129990044559698)]",1942.1666355925304
